PRODUCT,PACKAGE,CFG,BV,VGS,ID_TC,ID_TA,VTH_TYP,RDS_ON_10V,RDS_ON_4_5V,PRODUCT_URL,DATASHEET_URL,PACKAGE_URL,TAPE_REEL_URL,IMAGE
SM1201PSASC,SOT-723,P,-20,12,,-0.4,-0.75,,525,https://www.sinopowersemi.com/products-detail/SM1201PSASC/,https://www.sinopowersemi.com/products-detail/0/SM1201PSASC/,https://www.sinopowersemi.com/package-detail/0/43/,https://www.sinopowersemi.com/package-detail/1/43/,
SM1202NSASC,SOT-723,N,30,12,,0.35,0.95,,700,https://www.sinopowersemi.com/products-detail/SM1202NSASC/,https://www.sinopowersemi.com/products-detail/0/SM1202NSASC/,https://www.sinopowersemi.com/package-detail/0/43/,https://www.sinopowersemi.com/package-detail/1/43/,
SM1301NSSAC,SOT-523,N,30,20,,0.8,1.1,800,1100,https://www.sinopowersemi.com/products-detail/SM1301NSSAC/,https://www.sinopowersemi.com/products-detail/0/SM1301NSSAC/,https://www.sinopowersemi.com/package-detail/0/41/,https://www.sinopowersemi.com/package-detail/1/41/,
SM1401PSSC,SC-70,P,-20,12,,-3.3,-0.75,,78,../uart/datasheet/rx6-u12h-m/,../uart/datasheet/pdf/SM1401PSSC_Datasheet.pdf,https://www.sinopowersemi.com/package-detail/0/79/,https://www.sinopowersemi.com/package-detail/1/79/,
SM1403PSSC,SC-70,P,-20,12,,-2.8,-0.7,,75,https://www.sinopowersemi.com/products-detail/SM1403PSSC/,https://www.sinopowersemi.com/products-detail/0/SM1403PSSC/,https://www.sinopowersemi.com/package-detail/0/79/,https://www.sinopowersemi.com/package-detail/1/79/,
SM1404NSSC,SC-70,N,20,12,,3.5,0.7,,40,https://www.sinopowersemi.com/products-detail/SM1404NSSC/,https://www.sinopowersemi.com/products-detail/0/SM1404NSSC/,https://www.sinopowersemi.com/package-detail/0/79/,https://www.sinopowersemi.com/package-detail/1/79/,
SM1406NSSC,SC-70,N,30,12,,1,0.75,180,208,https://www.sinopowersemi.com/products-detail/SM1406NSSC/,https://www.sinopowersemi.com/products-detail/0/SM1406NSSC/,https://www.sinopowersemi.com/package-detail/0/79/,https://www.sinopowersemi.com/package-detail/1/79/,
SM1501GSQHC,SOT-563,Dual N,20,12,0.55,,0.95,,800,https://www.sinopowersemi.com/products-detail/SM1501GSQHC/,https://www.sinopowersemi.com/products-detail/0/SM1501GSQHC/,https://www.sinopowersemi.com/package-detail/0/42/,https://www.sinopowersemi.com/package-detail/1/42/,
SM1502CSQHC,SOT-563,N+P,-20,12,,-0.68,-0.75,,500,https://www.sinopowersemi.com/products-detail/SM1502CSQHC_2/,https://www.sinopowersemi.com/products-detail/0/SM1502CSQHC_2/,https://www.sinopowersemi.com/package-detail/0/42/,https://www.sinopowersemi.com/package-detail/1/42/,
SM1502CSQHC,SOT-563,N+P,20,8,,1.1,0.75,,195,https://www.sinopowersemi.com/products-detail/SM1502CSQHC_1/,https://www.sinopowersemi.com/products-detail/0/SM1502CSQHC_1/,https://www.sinopowersemi.com/package-detail/0/42/,https://www.sinopowersemi.com/package-detail/1/42/,
